標題,筆記,網址,標籤,留言
超人鱸魚,蛇丸,https://www.google.com/maps/place/%E8%B6%85%E4%BA%BA%E9%B1%B8%E9%AD%9A/data=!4m2!3m1!1s0x346801f6205f6f85:0x23b160dd8e2473a4,,
義大利米蘭手工窯烤披薩 台北中山店,"Ken
披薩、炸雞",https://www.google.com/maps/place/%E7%BE%A9%E5%A4%A7%E5%88%A9%E7%B1%B3%E8%98%AD%E6%89%8B%E5%B7%A5%E7%AA%AF%E7%83%A4%E6%8A%AB%E8%96%A9+%E5%8F%B0%E5%8C%97%E4%B8%AD%E5%B1%B1%E5%BA%97/data=!4m2!3m1!1s0x3442a9608d96d6fd:0xd1786f188d71b6d3,,
味留 熟成魚專門,打魚翔哥,https://www.google.com/maps/place/%E5%91%B3%E7%95%99+%E7%86%9F%E6%88%90%E9%AD%9A%E5%B0%88%E9%96%80/data=!4m2!3m1!1s0x345d536997d0a889:0x262dc6bf6333745e,,
玉林佶饗宴雞腿大王,九面,https://www.google.com/maps/place/%E7%8E%89%E6%9E%97%E4%BD%B6%E9%A5%97%E5%AE%B4%E9%9B%9E%E8%85%BF%E5%A4%A7%E7%8E%8B/data=!4m2!3m1!1s0x3442a9095bff7177:0xe415d63d8809c468,,
豪記東山鴨頭,痛風老饕：雞皮/鴨皮,https://www.google.com/maps/place/%E8%B1%AA%E8%A8%98%E6%9D%B1%E5%B1%B1%E9%B4%A8%E9%A0%AD/data=!4m2!3m1!1s0x3442ae8c86703d67:0x4ae2d92f2c28c9fa,,
西安街涼麵臭豆腐,痛風老饕：蛋捲臭豆腐,https://www.google.com/maps/place/%E8%A5%BF%E5%AE%89%E8%A1%97%E6%B6%BC%E9%BA%B5%E8%87%AD%E8%B1%86%E8%85%90/data=!4m2!3m1!1s0x3442ae8d7e2cc53f:0x8b6c67745e571827,,
慧昭牛舌餅,痛風老饕,https://www.google.com/maps/place/%E6%85%A7%E6%98%AD%E7%89%9B%E8%88%8C%E9%A4%85/data=!4m2!3m1!1s0x3442ae8bb849de47:0xf7a7d3d23616a297,,
313鵝肉擔（晚上開始營業，中午不休息）,痛風老饕,https://www.google.com/maps/place/313%E9%B5%9D%E8%82%89%E6%93%94%EF%BC%88%E6%99%9A%E4%B8%8A%E9%96%8B%E5%A7%8B%E7%87%9F%E6%A5%AD%EF%BC%8C%E4%B8%AD%E5%8D%88%E4%B8%8D%E4%BC%91%E6%81%AF%EF%BC%89/data=!4m2!3m1!1s0x3442ae8ebb3f4a81:0xe34566d6e2d4e54e,,
陳季炸雞 石牌店,痛風老饕,https://www.google.com/maps/place/%E9%99%B3%E5%AD%A3%E7%82%B8%E9%9B%9E+%E7%9F%B3%E7%89%8C%E5%BA%97/data=!4m2!3m1!1s0x3442ae8c85ba5a93:0x51d2902a96f94c9,,
洋石岩燒牛排 忠孝店,國棟,https://www.google.com/maps/place/%E6%B4%8B%E7%9F%B3%E5%B2%A9%E7%87%92%E7%89%9B%E6%8E%92+%E5%BF%A0%E5%AD%9D%E5%BA%97/data=!4m2!3m1!1s0x3442ab43ed58331d:0x4efe10a987ba2996,,
文賢米糕肉燥飯,痛風老饕-,https://www.google.com/maps/place/%E6%96%87%E8%B3%A2%E7%B1%B3%E7%B3%95%E8%82%89%E7%87%A5%E9%A3%AF/data=!4m2!3m1!1s0x346e765cd55c1eef:0xd09387207cc38f08,,
60+ Tea Shop城中店,痛風老饕-,https://www.google.com/maps/place/60%2B+Tea+Shop%E5%9F%8E%E4%B8%AD%E5%BA%97/data=!4m2!3m1!1s0x346e77eee3eaf95b:0x5240c2ef2e10aeb0,,
安平路65號鍋燒意麵,痛風老饕-,https://www.google.com/maps/place/%E5%AE%89%E5%B9%B3%E8%B7%AF65%E8%99%9F%E9%8D%8B%E7%87%92%E6%84%8F%E9%BA%B5/data=!4m2!3m1!1s0x346e761b470a599d:0x8c05a32a240e0d40,,
安平薛家擔仔麵,痛風老饕-,https://www.google.com/maps/place/%E5%AE%89%E5%B9%B3%E8%96%9B%E5%AE%B6%E6%93%94%E4%BB%94%E9%BA%B5/data=!4m2!3m1!1s0x346e761cb3e6bf37:0x1a0bc418666af6f0,,
