店名,地址,網址,餐飲類型,來源清單,是否曾去過,距離住家(公里),人均消費預估(元),備註
娥嬤炖鰻 （原昌吉紅燒鰻）,103台灣臺北市大同區斯文里昌吉街51號,https://www.google.com/maps/place/%E5%A8%A5%E5%AC%A4%E7%82%96%E9%B0%BB+%EF%BC%88%E5%8E%9F%E6%98%8C%E5%90%89%E7%B4%85%E7%87%92%E9%B0%BB%EF%BC%89/data=!4m2!3m1!1s0x3442a94710ed14b5:0xbbcc94aa5968e53a,其他,YTer,是,61.36,150,Fred
圓環龍鳳滷肉飯,242台灣新北市新莊區昌明里福壽街167號,https://www.google.com/maps/place/%E5%9C%93%E7%92%B0%E9%BE%8D%E9%B3%B3%E6%BB%B7%E8%82%89%E9%A3%AF/data=!4m2!3m1!1s0x3442a88864f5679b:0xeb022c0ac28cd256,中式,YTer,是,55.51,120,Fred
圓環龍鳳號,247台灣新北市蘆洲區中華里正和街9號,https://www.google.com/maps/place/%E5%9C%93%E7%92%B0%E9%BE%8D%E9%B3%B3%E8%99%9F/data=!4m2!3m1!1s0x3442a8c84eea6445:0x6677fe7a2791f4d7,其他,YTer,是,58.2,150,Fred
龍凰號,103台灣臺北市大同區星明里重慶北路二段53號,https://www.google.com/maps/place/%E9%BE%8D%E5%87%B0%E8%99%9F/data=!4m2!3m1!1s0x3442a96b3562a21d:0xfa204556c2df00ce,其他,YTer,是,60.66,150,Fred
三元號魯肉飯,103台灣臺北市大同區星明里重慶北路二段11號,https://www.google.com/maps/place/%E4%B8%89%E5%85%83%E8%99%9F%E9%AD%AF%E8%82%89%E9%A3%AF/data=!4m2!3m1!1s0x3442a96b53d1c9b5:0x6942d152898b5419,中式,YTer,是,60.63,120,Fred
紅昌吉豬血湯,103台灣臺北市大同區蓬萊里昌吉街46號,https://www.google.com/maps/place/%E7%B4%85%E6%98%8C%E5%90%89%E8%B1%AC%E8%A1%80%E6%B9%AF/data=!4m2!3m1!1s0x3442a9471c3a485d:0xb48de9febd757320,中式,YTer,是,61.39,120,Fred
簡家大龍峒肉圓,103台灣臺北市大同區至聖里大龍街188號1樓,https://www.google.com/maps/place/%E7%B0%A1%E5%AE%B6%E5%A4%A7%E9%BE%8D%E5%B3%92%E8%82%89%E5%9C%93/data=!4m2!3m1!1s0x3442a947dcd32999:0x14f72d848cf5ffc6,中式,YTer,是,61.47,120,Fred
元祖 牛腸鍋 樂天地天神 今泉總本店,"日本〒810-0021 Fukuoka, Chuo Ward, Imaizumi, 1 Chome−19−18 楽天地ビル ２階",https://www.google.com/maps/place/%E5%85%83%E7%A5%96+%E7%89%9B%E8%85%B8%E9%8D%8B+%E6%A8%82%E5%A4%A9%E5%9C%B0%E5%A4%A9%E7%A5%9E+%E4%BB%8A%E6%B3%89%E7%B8%BD%E6%9C%AC%E5%BA%97/data=!4m2!3m1!1s0x354191844ef1e58b:0xa6e4ac1a473fdd95,其他,YTer,是,1335.69,150,蛇丸
Yagura,"2 Chome-9-28 Hakata Ekimae, Hakata Ward, Fukuoka, 812-0011日本",https://www.google.com/maps/place/Yagura/data=!4m2!3m1!1s0x354191c09efc8041:0x28225e7c546db9cd,日式,YTer,是,1337.24,250,蛇丸 豬排丼飯 烏龍麵
葉隱烏龍麵,"2 Chome-3-32 Hakataekiminami, Hakata Ward, Fukuoka, 812-0016日本",https://www.google.com/maps/place/%E8%91%89%E9%9A%B1%E7%83%8F%E9%BE%8D%E9%BA%B5/data=!4m2!3m1!1s0x354191b6c660c81f:0x3a06517eb6968b8f,中式,YTer,是,1337.32,120,蛇丸
